image_path,label
svrt_problem_3/negative/00000_negative.jpg,negative
svrt_problem_3/negative/00001_negative.jpg,negative
svrt_problem_3/negative/00002_negative.jpg,negative
svrt_problem_3/negative/00003_negative.jpg,negative
svrt_problem_3/negative/00004_negative.jpg,negative
svrt_problem_3/negative/00005_negative.jpg,negative
svrt_problem_3/negative/00006_negative.jpg,negative
svrt_problem_3/negative/00007_negative.jpg,negative
svrt_problem_3/negative/00008_negative.jpg,negative
svrt_problem_3/negative/00009_negative.jpg,negative
svrt_problem_3/negative/00010_negative.jpg,negative
svrt_problem_3/negative/00011_negative.jpg,negative
svrt_problem_3/negative/00012_negative.jpg,negative
svrt_problem_3/negative/00013_negative.jpg,negative
svrt_problem_3/negative/00014_negative.jpg,negative
svrt_problem_3/negative/00015_negative.jpg,negative
svrt_problem_3/negative/00016_negative.jpg,negative
svrt_problem_3/negative/00017_negative.jpg,negative
svrt_problem_3/negative/00018_negative.jpg,negative
svrt_problem_3/negative/00019_negative.jpg,negative
svrt_problem_3/negative/00020_negative.jpg,negative
svrt_problem_3/negative/00021_negative.jpg,negative
svrt_problem_3/negative/00022_negative.jpg,negative
svrt_problem_3/negative/00023_negative.jpg,negative
svrt_problem_3/negative/00024_negative.jpg,negative
svrt_problem_3/negative/00025_negative.jpg,negative
svrt_problem_3/negative/00026_negative.jpg,negative
svrt_problem_3/negative/00027_negative.jpg,negative
svrt_problem_3/negative/00028_negative.jpg,negative
svrt_problem_3/negative/00029_negative.jpg,negative
svrt_problem_3/negative/00030_negative.jpg,negative
svrt_problem_3/negative/00031_negative.jpg,negative
svrt_problem_3/negative/00032_negative.jpg,negative
svrt_problem_3/negative/00033_negative.jpg,negative
svrt_problem_3/negative/00034_negative.jpg,negative
svrt_problem_3/negative/00035_negative.jpg,negative
svrt_problem_3/negative/00036_negative.jpg,negative
svrt_problem_3/negative/00037_negative.jpg,negative
svrt_problem_3/negative/00038_negative.jpg,negative
svrt_problem_3/negative/00039_negative.jpg,negative
svrt_problem_3/negative/00040_negative.jpg,negative
svrt_problem_3/negative/00041_negative.jpg,negative
svrt_problem_3/negative/00042_negative.jpg,negative
svrt_problem_3/negative/00043_negative.jpg,negative
svrt_problem_3/negative/00044_negative.jpg,negative
svrt_problem_3/negative/00045_negative.jpg,negative
svrt_problem_3/negative/00046_negative.jpg,negative
svrt_problem_3/negative/00047_negative.jpg,negative
svrt_problem_3/negative/00048_negative.jpg,negative
svrt_problem_3/negative/00049_negative.jpg,negative
svrt_problem_3/negative/00050_negative.jpg,negative
svrt_problem_3/negative/00051_negative.jpg,negative
svrt_problem_3/negative/00052_negative.jpg,negative
svrt_problem_3/negative/00053_negative.jpg,negative
svrt_problem_3/negative/00054_negative.jpg,negative
svrt_problem_3/negative/00055_negative.jpg,negative
svrt_problem_3/negative/00056_negative.jpg,negative
svrt_problem_3/negative/00057_negative.jpg,negative
svrt_problem_3/negative/00058_negative.jpg,negative
svrt_problem_3/negative/00059_negative.jpg,negative
svrt_problem_3/negative/00060_negative.jpg,negative
svrt_problem_3/negative/00061_negative.jpg,negative
svrt_problem_3/negative/00062_negative.jpg,negative
svrt_problem_3/negative/00063_negative.jpg,negative
svrt_problem_3/negative/00064_negative.jpg,negative
svrt_problem_3/negative/00065_negative.jpg,negative
svrt_problem_3/negative/00066_negative.jpg,negative
svrt_problem_3/negative/00067_negative.jpg,negative
svrt_problem_3/negative/00068_negative.jpg,negative
svrt_problem_3/negative/00069_negative.jpg,negative
svrt_problem_3/negative/00070_negative.jpg,negative
svrt_problem_3/negative/00071_negative.jpg,negative
svrt_problem_3/negative/00072_negative.jpg,negative
svrt_problem_3/negative/00073_negative.jpg,negative
svrt_problem_3/negative/00074_negative.jpg,negative
svrt_problem_3/negative/00075_negative.jpg,negative
svrt_problem_3/negative/00076_negative.jpg,negative
svrt_problem_3/negative/00077_negative.jpg,negative
svrt_problem_3/negative/00078_negative.jpg,negative
svrt_problem_3/negative/00079_negative.jpg,negative
svrt_problem_3/negative/00080_negative.jpg,negative
svrt_problem_3/negative/00081_negative.jpg,negative
svrt_problem_3/negative/00082_negative.jpg,negative
svrt_problem_3/negative/00083_negative.jpg,negative
svrt_problem_3/negative/00084_negative.jpg,negative
svrt_problem_3/negative/00085_negative.jpg,negative
svrt_problem_3/negative/00086_negative.jpg,negative
svrt_problem_3/negative/00087_negative.jpg,negative
svrt_problem_3/negative/00088_negative.jpg,negative
svrt_problem_3/negative/00089_negative.jpg,negative
svrt_problem_3/negative/00090_negative.jpg,negative
svrt_problem_3/negative/00091_negative.jpg,negative
svrt_problem_3/negative/00092_negative.jpg,negative
svrt_problem_3/negative/00093_negative.jpg,negative
svrt_problem_3/negative/00094_negative.jpg,negative
svrt_problem_3/negative/00095_negative.jpg,negative
svrt_problem_3/negative/00096_negative.jpg,negative
svrt_problem_3/negative/00097_negative.jpg,negative
svrt_problem_3/negative/00098_negative.jpg,negative
svrt_problem_3/negative/00099_negative.jpg,negative
svrt_problem_3/negative/00100_negative.jpg,negative
svrt_problem_3/negative/00101_negative.jpg,negative
svrt_problem_3/negative/00102_negative.jpg,negative
svrt_problem_3/negative/00103_negative.jpg,negative
svrt_problem_3/negative/00104_negative.jpg,negative
svrt_problem_3/negative/00105_negative.jpg,negative
svrt_problem_3/negative/00106_negative.jpg,negative
svrt_problem_3/negative/00107_negative.jpg,negative
svrt_problem_3/negative/00108_negative.jpg,negative
svrt_problem_3/negative/00109_negative.jpg,negative
svrt_problem_3/negative/00110_negative.jpg,negative
svrt_problem_3/negative/00111_negative.jpg,negative
svrt_problem_3/negative/00112_negative.jpg,negative
svrt_problem_3/negative/00113_negative.jpg,negative
svrt_problem_3/negative/00114_negative.jpg,negative
svrt_problem_3/negative/00115_negative.jpg,negative
svrt_problem_3/negative/00116_negative.jpg,negative
svrt_problem_3/negative/00117_negative.jpg,negative
svrt_problem_3/negative/00118_negative.jpg,negative
svrt_problem_3/negative/00119_negative.jpg,negative
svrt_problem_3/negative/00120_negative.jpg,negative
svrt_problem_3/negative/00121_negative.jpg,negative
svrt_problem_3/negative/00122_negative.jpg,negative
svrt_problem_3/negative/00123_negative.jpg,negative
svrt_problem_3/negative/00124_negative.jpg,negative
